title,link,authors,publication,citation_id
Non-random association between electromorphs and inversion chromosomes in finite populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:D_sINldO8mEC,"M Nei, WH Li","Genetics Research 35 (1), 65-83, 1980",VxOmZDgAAAAJ:D_sINldO8mEC
ADAPTSITE: detecting natural selection at single amino acid sites,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:738O_yMBCRsC,"Y Suzuki, T Gojobori, M Nei","Bioinformatics 17 (7), 660-661, 2001",VxOmZDgAAAAJ:738O_yMBCRsC
Genetic support for the out-of-Africa theory of human evolution.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:dTyEYWd-f8wC,M Nei,"Proceedings of the National Academy of Sciences of the United States of …, 1995",VxOmZDgAAAAJ:dTyEYWd-f8wC
"Genetic relationships of Europeans, Asians and Africans and the origin of modern Homo sapiens",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:VOx2b1Wkg3QC,"M Nei, G Livshits","Human heredity 39 (5), 276-281, 1989",VxOmZDgAAAAJ:VOx2b1Wkg3QC
Testing the neutral mutation hypothesis by distribution of single locus heterozygosity,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:V3AGJWp-ZtQC,"M Nei, PA Fuerst, R Chakraborty","Nature 262 (5568), 491-493, 1976",VxOmZDgAAAAJ:V3AGJWp-ZtQC
"MEGA5: molecular evolutionary genetics analysis using maximum likelihood, evolutionary distance, and maximum parsimony methods",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:9NZAP19TdFAC,"T Koichiro, P Daniel, P Nicholas, S Glen, N Masatoshi, K Sudhir","Mol Biol Evol 28 (10), 2731-2739, 2011",VxOmZDgAAAAJ:9NZAP19TdFAC
Birth-and-death evolution in primate MHC class I genes: divergence time estimates,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:ZuybSZzF8UAC,"H Piontkivska, M Nei","Molecular biology and evolution 20 (4), 601-609, 2003",VxOmZDgAAAAJ:ZuybSZzF8UAC
The Wilhelmine E. Key 2001 Invitational Lecture. Estimation of divergence times for a few mammalian and several primate species,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:1yQoGdGgb4wC,"M Nei, GV Glazko","Journal of Heredity 93 (3), 157-164, 2002",VxOmZDgAAAAJ:1yQoGdGgb4wC
Roles of mutation and selection in speciation: from Hugo de Vries to the modern genomic era,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:bz8QjSJIRt4C,"M Nei, M Nozawa","Genome biology and evolution 3, 812-829, 2011",VxOmZDgAAAAJ:bz8QjSJIRt4C
Variability and heritability of human fertility,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:HE397vMXCloC,"Y Imaizumi, M Nei, T Furusho","Annals of human genetics 33 (3), 251-259, 1970",VxOmZDgAAAAJ:HE397vMXCloC
Concerted and nonconcerted evolution of the Hsp70 gene superfamily in two sibling species of nematodes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:dQ2og3OwTAUC,"N Nikolaidis, M Nei","Molecular biology and evolution 21 (3), 498-505, 2004",VxOmZDgAAAAJ:dQ2og3OwTAUC
Biases of the estimates of DNA divergence obtained by the restriction enzyme technique,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:AXPGKjj_ei8C,"F Tajima, M Nei","Journal of Molecular Evolution 18 (2), 115-120, 1982",VxOmZDgAAAAJ:AXPGKjj_ei8C
New York,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:AFmTUeZ1pmEC,M Nei,"Columbia University Press, 1987",VxOmZDgAAAAJ:AFmTUeZ1pmEC
Inconsistency of the maximum parsimony method when the rate of nucleotide substitution is constant,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:9vf0nzSNQJEC,"N Takezaki, M Nei","Journal of molecular evolution 39 (2), 210-218, 1994",VxOmZDgAAAAJ:9vf0nzSNQJEC
Origins and evolution of the formin multigene family that is involved in the formation of actin filaments,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:4MWp96NkSFoC,"D Chalkia, N Nikolaidis, W Makalowski, J Klein, M Nei","Molecular biology and evolution 25 (12), 2717-2733, 2008",VxOmZDgAAAAJ:4MWp96NkSFoC
An unusual form of purifying selection in a sperm protein,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:PELIpwtuRlgC,"AP Rooney, J Zhang, M Nei","Molecular Biology and Evolution 17 (2), 278-283, 2000",VxOmZDgAAAAJ:PELIpwtuRlgC
Dynamics of gene differentiation between incompletely isolated populations of unequal sizes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:LjlpjdlvIbIC,"R CHAKRABoRTY, M Nei","Theoretical Population Biology 5 (3), 460-469, 1974",VxOmZDgAAAAJ:LjlpjdlvIbIC
Models of host-parasite interaction and MHC polymorphism,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Y5dfb0dijaUC,"AL Hughes, M Nei","Genetics 132 (3), 863, 1992",VxOmZDgAAAAJ:Y5dfb0dijaUC
Effective population size when fertility is inherited,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:t6usbXjVLHcC,"M Nei, M Murata","Genetics Research 8 (2), 257-260, 1966",VxOmZDgAAAAJ:t6usbXjVLHcC
Evolutionary dynamics of the immunoglobulin heavy chain variable region genes in vertebrates,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:hMsQuOkrut0C,"S Das, M Nozawa, J Klein, M Nei","Immunogenetics 60 (1), 47-55, 2008",VxOmZDgAAAAJ:hMsQuOkrut0C
Assessing molecular phylogenies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:XiVPGOgt02cC,"M Nei, N Takezaki, T Sitnikova","Science 267 (5195), 253-255, 1995",VxOmZDgAAAAJ:XiVPGOgt02cC
Evolutionary relationships of the classes of major histocompatibility complex genes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:WqliGbK-hY8C,"AL Hughes, M Nei","Immunogenetics 37 (5), 337-346, 1993",VxOmZDgAAAAJ:WqliGbK-hY8C
Stochastic errors in DNA evolution and molecular phylogeny,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:6yz0xqPARnAC,M Nei,"Prog Clin Biol Res 218, 133-147, 1986",VxOmZDgAAAAJ:6yz0xqPARnAC
METREE: a program package for inferring and testing minimum-evolution trees,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:PR6Y55bgFSsC,"A Rzhetsky, M Nei","Bioinformatics 10 (4), 409-412, 1994",VxOmZDgAAAAJ:PR6Y55bgFSsC
Evolutionary changes of the number of olfactory receptor genes in the human and mouse lineages,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:UHK10RUVsp4C,"Y Niimura, M Nei","Gene 346, 23-28, 2005",VxOmZDgAAAAJ:UHK10RUVsp4C
Relationships between intrapopulational and interpopulational genetic diversity in man,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Mojj43d5GZwC,"G Livshits, M Nei","Annals of human biology 17 (6), 501-513, 1990",VxOmZDgAAAAJ:Mojj43d5GZwC
Eighty percent of proteins are different between humans and chimpanzees,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:VL0QpB8kHFEC,"G Glazko, V Veeramachaneni, M Nei, W Makałowski","Gene 346, 215-219, 2005",VxOmZDgAAAAJ:VL0QpB8kHFEC
Probability of fixation and mean fixation time of an overdominant mutation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:zLWjf1WUPmwC,"M Nei, AK Roychoudhury","Genetics 74 (2), 371-380, 1973",VxOmZDgAAAAJ:zLWjf1WUPmwC
Concerted evolution of the immunoglobulin VH gene family.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:olpn-zPbct0C,"T Gojobori, M Nei","Molecular biology and evolution 1 (2), 195-212, 1984",VxOmZDgAAAAJ:olpn-zPbct0C
Phylogenetic analysis of polymorphic dna sequences at the adh locus indrosophila melanogaster and its sibling species,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:SdhP9T11ey4C,"J Claiborne Stephens, M Nei","Journal of molecular evolution 22 (4), 289-300, 1985",VxOmZDgAAAAJ:SdhP9T11ey4C
Studies on the application of biometrical genetics to plant breeding,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:wE-fMHVdjMkC,M Nei,"Kyoto University, 1959",VxOmZDgAAAAJ:wE-fMHVdjMkC
Evolution of vertebrate immunoglobulin variable gene segments,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:WA5NYHcadZ8C,"T Ota, T Sitnikova, M Nei","Origin and Evolution of the Vertebrate Immune System, 221-245, 2000",VxOmZDgAAAAJ:WA5NYHcadZ8C
Diversity and evolution of T-cell receptor variable region genes in mammals and birds,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:7T2F9Uy0os0C,"C Su, I Jakobsen, X Gu, M Nei","Immunogenetics 50 (5), 301-308, 1999",VxOmZDgAAAAJ:7T2F9Uy0os0C
Molecular evolutionary,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:DquSII9TDu4C,M Nei,"Genetics, 1987",VxOmZDgAAAAJ:DquSII9TDu4C
The efficiency of haploid method of plant breeding,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Fu2w8maKXqMC,M Nei,"Heredity 18 (95), 100, 1963",VxOmZDgAAAAJ:Fu2w8maKXqMC
"MEGA5: Molecular Evolutionary Genetics Analysis using likelihood, distance, and maximum parsimony methods",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Y9VhQm-5nPIC,"K Tamura, D Peterson, N Peterson, G Stecher, M Nei, S Kumar","Mol Biol Evol 28, 2721-2739, 2011",VxOmZDgAAAAJ:Y9VhQm-5nPIC
Phylogenetic trees,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:RMgMIBzvq-4C,M Nei,"Molecular evolutionary genetics, 287-326, 1987",VxOmZDgAAAAJ:RMgMIBzvq-4C
Evolutionary change of restriction cleavage sites and phylogenetic inference for man and apes.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:N5tVd3kTz84C,"M Nei, F Tajima","Molecular biology and Evolution 2 (3), 189-205, 1985",VxOmZDgAAAAJ:N5tVd3kTz84C
Adaptive evolution of variable region genes encoding an unusual type of immunoglobulin in camelids,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:0KyAp5RtaNEC,"C Su, VK Nguyen, M Nei","Molecular biology and evolution 19 (3), 205-215, 2002",VxOmZDgAAAAJ:0KyAp5RtaNEC
Color vision of ancestral organisms of higher primates.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:uLbwQdceFCQC,"M Nei, J Zhang, S Yokoyama","Molecular biology and evolution 14 (6), 611-618, 1997",VxOmZDgAAAAJ:uLbwQdceFCQC
Relative efficiencies of the maximum-parsimony and distance-matrix methods of phylogeny construction for restriction data.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:5awf1xo2G04C,"J Lin, M Nei","Molecular biology and evolution 8 (3), 356-365, 1991",VxOmZDgAAAAJ:5awf1xo2G04C
Evolutionary redefinition of immunoglobulin light chain isotypes in tetrapods using molecular markers,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Z5m8FVwuT1cC,"S Das, N Nikolaidis, J Klein, M Nei","Proceedings of the National Academy of Sciences 105 (43), 16647-16652, 2008",VxOmZDgAAAAJ:Z5m8FVwuT1cC
Evolution of immunoglobulin VH pseudogenes in chickens.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:ye4kPcJQO24C,"T Ota, M Nei","Molecular biology and evolution 12 (1), 94-102, 1995",VxOmZDgAAAAJ:ye4kPcJQO24C
Genetic relationship of human populations and ethnic differences in reaction to drugs and food.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:W5xh706n7nkC,"M Nei, N Saitou","Progress in clinical and biological research 214, 21-37, 1986",VxOmZDgAAAAJ:W5xh706n7nkC
Differences in the relative distribution of human gene diversity between electrophoretic and red and white cell antigen loci,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:tzM49s52ZIMC,"N Ryman, R Chakraborty, M Nei","Human heredity 33 (2), 93-102, 1983",VxOmZDgAAAAJ:tzM49s52ZIMC
Unbiased estimates of the number of nucleotide substitutions when substitution rate varies among different sites,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:tKAzc9rXhukC,"A Rzhetsky, M Nei","Journal of molecular evolution 38 (3), 295-299, 1994",VxOmZDgAAAAJ:tKAzc9rXhukC
Age of the common ancestor of human mitochondrial DNA.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:ZfRJV9d4-WMC,M Nei,"Molecular biology and evolution 9 (6), 1176-1178, 1992",VxOmZDgAAAAJ:ZfRJV9d4-WMC
Evolution of immunoglobulin kappa chain variable region genes in vertebrates.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:35r97b3x0nAC,"T Sitnikova, M Nei","Molecular biology and evolution 15 (1), 50-60, 1998",VxOmZDgAAAAJ:35r97b3x0nAC
"The origins of human populations: genetic, linguistic, and archeological data",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:VLnqNzywnoUC,M Nei,"The origin and past of modern humans as viewed from DNA. World Scientific …, 1995",VxOmZDgAAAAJ:VLnqNzywnoUC
The transient distribution of allele frequencies under mutation pressure,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:2KloaMYe4IUC,"M Nei, WH Li","Genetics Research 28 (3), 205-214, 1976",VxOmZDgAAAAJ:2KloaMYe4IUC
Four-cluster analysis: a simple method to test phylogenetic hypotheses.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:_Ybze24A_UAC,"A Rzhetsky, S Kumar, M Nei","Molecular biology and evolution 12 (1), 163-167, 1995",VxOmZDgAAAAJ:_Ybze24A_UAC
Estimation of mutation rate from rare protein variants.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:evX43VCCuoAC,M Nei,"American Journal of Human Genetics 29 (3), 225, 1977",VxOmZDgAAAAJ:evX43VCCuoAC
A new measure of genetic distance,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:AvfA0Oy_GE0C,M Nei,"Genetic distance, 63-76, 1974",VxOmZDgAAAAJ:AvfA0Oy_GE0C
The estimation of outcrossing in natural populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:fEOibwPWpKIC,"M NEI, K SYAKUDO","The Japanese Journal of Genetics 33 (2), 46-51, 1958",VxOmZDgAAAAJ:fEOibwPWpKIC
Fifty-million-year-old polymorphism at an immunoglobulin variable region gene locus in the rabbit evolutionary lineage,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:nrtMV_XWKgEC,"C Su, M Nei","Proceedings of the National Academy of Sciences 96 (17), 9710-9715, 1999",VxOmZDgAAAAJ:nrtMV_XWKgEC
Probability of identical monomorphism in related species,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:_Re3VWB3Y0AC,"M Nei, WH Li","Genetics Research 26 (1), 31-43, 1975",VxOmZDgAAAAJ:_Re3VWB3Y0AC
Frequency changes of new inversions in populations under mutation-selection equilibria,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:p__nRnzSRKYC,"M Nei, KI Kojima, HE Schaffer","Genetics 57 (4), 741, 1967",VxOmZDgAAAAJ:p__nRnzSRKYC
Subunit molecular weight and genetic variability of proteins in natural populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:9Nmd_mFXekcC,"M Nei, PA Fuerst, R Chakraborty","Proceedings of the National Academy of Sciences 75 (7), 3359-3362, 1978",VxOmZDgAAAAJ:9Nmd_mFXekcC
Reanalysis of Murphy et al.’s data gives various mammalian phylogenies and suggests overcredibility of Bayesian trees,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:-_dYPAW6P2MC,"K Misawa, M Nei","Journal of molecular evolution 57 (1), S290-S296, 2003",VxOmZDgAAAAJ:-_dYPAW6P2MC
Evolutionary dynamics of the T-cell receptor VB gene family as inferred from the human and mouse genomic sequences,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:t7zJ5fGR-2UC,"C Su, M Nei","Molecular biology and evolution 18 (4), 503-513, 2001",VxOmZDgAAAAJ:t7zJ5fGR-2UC
The history and geography of human genes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:w2UhwfzvF0QC,"LL Cavalli-Sforza, P Menozzi, A Piazza, M Nei","Trends in Genetics 11 (7), 292-292, 1995",VxOmZDgAAAAJ:w2UhwfzvF0QC
Genomic organization and evolutionary analysis of Ly49 genes encoding the rodent natural killer cell receptors: rapid evolution by repeated gene duplication,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:uJ-U7cs_P_0C,"L Hao, M Nei","Immunogenetics 56 (5), 343-354, 2004",VxOmZDgAAAAJ:uJ-U7cs_P_0C
Persistence of common alleles in two related populations or species,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:XD-gHx7UXLsC,"WH Li, M Nei","Genetics 86 (4), 901-914, 1977",VxOmZDgAAAAJ:XD-gHx7UXLsC
"Bottlenecks, genetic polymorphism and speciation",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:WZBGuue-350C,M Nei,"Genetics 170 (1), 1-4, 2005",VxOmZDgAAAAJ:WZBGuue-350C
Rapid expansion of killer cell immunoglobulin-like receptor genes in primates and their coevolution with MHC Class I genes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:yB1At4FlUx8C,"L Hao, M Nei","Gene 347 (2), 149-159, 2005",VxOmZDgAAAAJ:yB1At4FlUx8C
"Origin and evolution of the Ig-like domains present in mammalian leukocyte receptors: insights from chicken, frog, and fish homologues",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:ML0RJ9NH7IQC,"N Nikolaidis, J Klein, M Nei","Immunogenetics 57 (1), 151-157, 2005",VxOmZDgAAAAJ:ML0RJ9NH7IQC
Origin and evolution of the chicken leukocyte receptor complex,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:BUYA1_V_uYcC,"N Nikolaidis, I Makalowska, D Chalkia, W Makalowski, J Klein, M Nei","Proceedings of the National Academy of Sciences 102 (11), 4057-4062, 2005",VxOmZDgAAAAJ:BUYA1_V_uYcC
1987Molecular evolutionary genetics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:AzKEL7Gb_04C,M Nei,"New York: Columbia University Press 168, 178, 1975",VxOmZDgAAAAJ:AzKEL7Gb_04C
Identity of genes and genetic distance between populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:1DsIQWDZLl8C,M Nei,"Genetics 68 (1), S47-&, 1971",VxOmZDgAAAAJ:1DsIQWDZLl8C
Analysis of the immunoglobulin light chain genes in zebra finch: evolutionary implications,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:0N-VGjzr574C,"S Das, U Mohamedy, M Hirano, M Nei, N Nikolaidis","Molecular biology and evolution 27 (1), 113-120, 2010",VxOmZDgAAAAJ:0N-VGjzr574C
Total number of individuals affected by a single deleterious mutation in a finite population,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:j8SEvjWlNXcC,"WH Li, M Nei","American Journal of Human Genetics 24 (6 Pt 1), 667, 1972",VxOmZDgAAAAJ:j8SEvjWlNXcC
The Pennsylvania State University,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:1r-w4gtu6w8C,"S Kumar, K Tamura, M Nei","University Park, PA 16802, 1993",VxOmZDgAAAAJ:1r-w4gtu6w8C
Hidden genetic variability within electromorphs in finite populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:EkHepimYqZsC,"R Chakraborty, M Nei","Genetics 84 (2), 385-393, 1976",VxOmZDgAAAAJ:EkHepimYqZsC
Fertility excess necessary for gene substitution in regulated populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:uWiczbcajpAC,M Nei,"Genetics 68 (1), 169-184, 1971",VxOmZDgAAAAJ:uWiczbcajpAC
Ancient interlocus exon exchange in the history of the HLA-A locus.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:vDijr-p_gm4C,"AL Hughes, M Nei","Genetics 122 (3), 681-686, 1989",VxOmZDgAAAAJ:vDijr-p_gm4C
Genetic variation within species,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:BOlwja0KXvYC,M Nei,"Molecular evolutionary genetics, 176-207, 1987",VxOmZDgAAAAJ:BOlwja0KXvYC
Note on genetic drift and estimation of effective population size,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:epqYDVWIO7EC,"F Tajima, M Nei","Genetics 106 (3), 569, 1984",VxOmZDgAAAAJ:epqYDVWIO7EC
